title,times_rented
"ACADEMY DINOSAUR",23
"AFFAIR PREJUDICE",23
"AGENT TRUMAN",21
"AIRPORT POLLOCK",18
"ALADDIN CALENDAR",23
"ALAMO VIDEOTAPE",24
"ALASKA PHANTOM",26
"ALIEN CENTER",22
"ALONE TRIP",18
"ALTER VICTORY",22
"AMADEUS HOLY",21
"AMERICAN CIRCUS",22
"AMISTAD MIDSUMMER",21
"ANACONDA CONFESSIONS",21
"ANGELS LIFE",22
"ANNIE IDENTITY",22
"APACHE DIVINE",31
"ARACHNOPHOBIA ROLLERCOASTER",24
"ARIZONA BANG",21
"ARMAGEDDON LOST",21
"ATLANTIS CAUSE",24
"ATTRACTION NEWTON",24
"BACKLASH UNDEFEATED",19
"BADMAN DAWN",21
"BALLOON HOMEWARD",23
"BANGER PINOCCHIO",22
"BARBARELLA STREETCAR",25
"BAREFOOT MANCHURIAN",18
"BASIC EASY",21
"BEACH HEARTBREAKERS",17
"BEAR GRACELAND",22
"BEAUTY GREASE",22
"BERETS AGENT",21
"BEVERLY OUTLAW",21
"BIKINI BORROWERS",17
"BILL OTHERS",19
"BINGO TALENTED",29
"BIRDS PERDITION",18
"BLACKOUT PRIVATE",27
"BLADE POLISH",22
"BLUES INSTINCT",21
"BOOGIE AMELIE",29
"BORROWERS BEDAZZLED",22
"BOULEVARD MOB",18
"BOUND CHEAPER",24
"BREAKFAST GOLDFINGER",17
"BRIDE INTRIGUE",19
"BRINGING HYSTERICAL",20
"BROOKLYN DESERT",21
"BROTHERHOOD BLANKET",26
"BUCKET BROTHERHOOD",34
"BUTTERFLY CHOCOLAT",30
"CALENDAR GUNFIGHT",21
"CAMELOT VACATION",27
"CAMPUS REMEMBER",19
"CANDIDATE PERDITION",18
"CANDLES GRAPES",23
"CANYON STOCK",19
"CAPER MOTIONS",24
"CAROL TEXAS",18
"CARRIE BUNCH",23
"CAT CONEHEADS",30
"CAUSE DATE",21
"CELEBRITY HORN",24
"CENTER DINOSAUR",24
"CHAINSAW UPTOWN",21
"CHANCE RESURRECTION",27
"CHARIOTS CONSPIRACY",21
"CHASING FIGHT",20
"CHEAPER CLYDE",20
"CHICKEN HELLFIGHTERS",22
"CHILL LUCK",22
"CHOCOLAT HARRY",20
"CHRISTMAS MOONSHINE",21
"CIDER DESIRE",19
"CLASH FREDDY",25
"CLEOPATRA DEVIL",18
"CLONES PINOCCHIO",19
"CLOSER BANG",28
"CLUB GRAFFITI",19
"CLUELESS BUCKET",25
"COAST RAINBOW",21
"COLOR PHILADELPHIA",24
"COMA HEAD",26
"COMFORTS RUSH",17
"CONEHEADS SMOOCHY",25
"CONFIDENTIAL INTERVIEW",29
"CONFUSED CANDLES",17
"CONGENIALITY QUEST",22
"CONTACT ANONYMOUS",26
"CONVERSATION DOWNHILL",17
"CORE SUIT",18
"CROOKED FROGMEN",23
"CROSSROADS CASUALTIES",21
"CUPBOARD SINNERS",23
"CURTAIN VIDEOTAPE",27
"DALMATIONS SWEDEN",20
"DANCING FEVER",27
"DARN FORRESTER",18
"DAWN POND",18
"DECEIVER BETRAYED",21
"DEER VIRGINIAN",29
"DESERT POSEIDON",19
"DETAILS PACKER",19
"DETECTIVE VISION",27
"DINOSAUR SECRETARY",20
"DISCIPLE MOTHER",19
"DISTURBING SCARFACE",26
"DIVIDE MONSTER",21
"DOGMA FAMILY",30
"DOOM DANCING",21
"DOORS PRESIDENT",19
"DORADO NOTTING",27
"DOUBLE WRATH",25
"DOWNHILL ENOUGH",25
"DRACULA CRYSTAL",21
"DRAGONFLY STRANGERS",18
"DREAM PICKUP",22
"DRIFTER COMMANDMENTS",24
"DRIVER ANNIE",18
"DRIVING POLISH",21
"DURHAM PANKY",26
"DYING MAKER",17
"DYNAMITE TARZAN",25
"EAGLES PANKY",22
"EARRING INSTINCT",19
"EARTH VISION",23
"EASY GLADIATOR",23
"EFFECT GLADIATOR",25
"EGG IGBY",21
"EGYPT TENENBAUMS",17
"EMPIRE MALKOVICH",21
"ENCINO ELF",19
"ENCOUNTERS CURTAIN",19
"ENEMY ODDS",29
"ENGLISH BULWORTH",30
"ENOUGH RAGING",18
"ESCAPE METROPOLIS",25
"EXCITEMENT EVE",21
"EXPECATIONS NATURAL",18
"EXPENDABLE STALLION",28
"EYES DRIVING",19
"FACTORY DRAGON",17
"FALCON VOLUME",22
"FAMILY SWEET",29
"FANTASIA PARK",19
"FANTASY TROOPERS",26
"FARGO GANDHI",24
"FATAL HAUNTED",28
"FELLOWSHIP AUTUMN",26
"FERRIS MOTHER",17
"FEUD FROGMEN",25
"FICTION CHRISTMAS",19
"FIDELITY DEVIL",21
"FIGHT JAWBREAKER",22
"FIREBALL PHILADELPHIA",21
"FISH OPUS",25
"FLAMINGOS CONNECTICUT",23
"FLATLINERS KILLER",22
"FLINTSTONES HAPPINESS",17
"FLYING HOOK",20
"FOOL MOCKINGBIRD",23
"FORREST SONS",18
"FORRESTER COMANCHEROS",27
"FORWARD TEMPLE",32
"FREAKY POCUS",17
"FREDDY STORM",23
"FRENCH HOLIDAY",17
"FROST HEAD",30
"FURY MURDER",19
"GABLES METROPOLIS",19
"GALAXY SWEETHEARTS",18
"GANDHI KWAI",17
"GANGS PRIDE",27
"GARDEN ISLAND",20
"GENTLEMEN STAGE",23
"GHOST GROUNDHOG",21
"GIANT TROOPERS",28
"GILMORE BOILED",28
"GLEAMING JAWBREAKER",29
"GO PURPLE",20
"GOLDFINGER SENSIBILITY",24
"GOLDMINE TYCOON",27
"GOODFELLAS SALUTE",31
"GORGEOUS BINGO",19
"GRAFFITI LOVE",30
"GRAPES FURY",22
"GREASE YOUTH",21
"GREATEST NORTH",29
"GREEK EVERYONE",17
"GRIT CLOCKWORK",32
"GROOVE FICTION",18
"GROUNDHOG UNCUT",18
"GUN BONNIE",25
"GUNFIGHT MOON",24
"HALF OUTFIELD",26
"HANDICAP BOONDOCK",28
"HANGING DEEP",19
"HANKY OCTOBER",26
"HANOVER GALAXY",17
"HARPER DYING",20
"HARRY IDAHO",30
"HAUNTING PIANIST",22
"HEAD STRANGER",22
"HEARTBREAKERS BRIGHT",20
"HEAVEN FREEDOM",18
"HEAVYWEIGHTS BEAST",23
"HELLFIGHTERS SIERRA",20
"HIGH ENCINO",22
"HIGHBALL POTTER",21
"HILLS NEIGHBORS",25
"HOBBIT ALIEN",31
"HOLOCAUST HIGHBALL",17
"HOMICIDE PEACH",22
"HONEY TIES",19
"HOPE TOOTSIE",18
"HORN WORKING",24
"HORROR REIGN",27
"HOURS RAGE",19
"HOUSE DYNAMITE",23
"HUNCHBACK IMPOSSIBLE",20
"HURRICANE AFFAIR",24
"HUSTLER PARTY",22
"HYDE DOCTOR",26
"ICE CROSSING",24
"IDAHO LOVE",17
"IDOLS SNATCHERS",30
"IGBY MAKER",19
"INCH JET",18
"INDEPENDENCE HOTEL",19
"INNOCENT USUAL",26
"INSECTS STONE",18
"INSIDER ARIZONA",20
"INSTINCT AIRPORT",18
"INTENTIONS EMPIRE",17
"INTERVIEW LIAISONS",20
"INTRIGUE WORST",20
"INVASION CYCLONE",27
"ISLAND EXORCIST",26
"JACKET FRISCO",18
"JADE BUNCH",18
"JASON TRAP",24
"JEDI BENEATH",19
"JEKYLL FROGMEN",17
"JERICHO MULAN",17
"JERK PAYCHECK",20
"JET NEIGHBORS",20
"JOON NORTHWEST",17
"JUGGLER HARDLY",32
"JUMPING WRATH",24
"KARATE MOON",23
"KICK SAVANNAH",20
"KISS GLORY",22
"KISSING DOLLS",20
"KNOCK WARLOCK",24
"KWAI HOMEWARD",23
"LADY STAGE",17
"LAWLESS VISION",17
"LEAGUE HELLFIGHTERS",17
"LEBOWSKI SOLDIERS",21
"LIAISONS SWEET",22
"LIES TREATMENT",27
"LION UNCUT",18
"LOATHING LEGALLY",27
"LOLA AGENT",24
"LOSE INCH",27
"LOUISIANA HARRY",17
"LOVE SUICIDES",20
"MADNESS ATTACKS",25
"MAIDEN HOME",24
"MAJESTIC FLOATS",17
"MALKOVICH PET",26
"MALLRATS UNITED",25
"MALTESE HOPE",22
"MARRIED GO",30
"MARS ROMAN",19
"MASK PEACH",17
"MASKED BUBBLE",20
"MASSACRE USUAL",30
"METAL ARMAGEDDON",25
"METROPOLIS COMA",26
"MIDNIGHT WESTWARD",17
"MIDSUMMER GROUNDHOG",22
"MILLION ACE",20
"MINDS TRUMAN",20
"MINE TITANS",19
"MISSION ZOOLANDER",18
"MOCKINGBIRD HOLLYWOOD",24
"MONEY HAROLD",20
"MOON BUNCH",29
"MOONSHINE CABIN",21
"MOURNING PURPLE",21
"MOVIE SHAKESPEARE",27
"MURDER ANTITRUST",23
"MUSCLE BRIGHT",30
"MUSIC BOONDOCK",19
"MUSKETEERS WAIT",17
"NAME DETECTIVE",23
"NATIONAL STORY",19
"NEIGHBORS CHARADE",19
"NETWORK PEAK",31
"NEWTON LABYRINTH",17
"NIGHTMARE CHILL",25
"NONE SPIKING",27
"NOON PAPI",17
"NORTHWEST POLISH",20
"NOVOCAINE FLIGHT",19
"OPEN AFRICAN",21
"OPERATION OPERATION",27
"ORANGE GRAPES",24
"ORIENT CLOSER",17
"OSCAR GOLD",25
"OTHERS SOUP",23
"OUTBREAK DIVINE",23
"OUTFIELD MASSACRE",20
"OZ LIAISONS",24
"PACIFIC AMISTAD",24
"PACKER MADIGAN",22
"PARADISE SABRINA",18
"PATIENT SISTER",19
"PATTON INTERVIEW",23
"PEAK FOREVER",20
"PELICAN COMFORTS",26
"PERFECT GROOVE",17
"PHILADELPHIA WIFE",23
"PIANIST OUTFIELD",21
"PINOCCHIO SIMON",20
"PIRATES ROXANNE",21
"PITY BOUND",26
